순위,제목,가수,가사,장르,발매일,Month
1,넘쳐흘러,엠씨더맥스 (M.C the MAX),나는 그대를 뒤로한 채로 우리 사랑을 놓아요 차오르는 추억을 헝클어뜨려 모두 일어나지 않았던 일처럼 고갤 저어 모르는 꿈이라 말하고 있네요 남았는지 모를 마음이 나를 향해 힘껏 달려도 어느 끝 멈춰질 그 거리에 그대 다 찢겨져버린 사이 더 기워봐도 다시 그때로 우리 되돌려 놓을 수 없는 그 얘기 날카롭게 패인 이 상처가 깊어 나을 수 없으니 떠나가요 떨궈진 눈물은 가슴에 담아지고 이제 더는 채울 자리 없이 넘쳐흐르네요 그대인지 모를 얼굴이 나를 향해 웃음 지어도 손 내밀 수도 없는 거리에 그대 또 주저앉을 수밖에 무너진 이 사랑과 그대의 모든 흔적을 그리워하는 일만이 더 할 게 없어서 무력해져 가는 내가 싫어 그대를 보내기 싫지만 다 찢겨져버린 사이 더 기워봐도 다시 그때로 우릴 되돌려 놓을 수 없는 그 얘기 날카롭게 패인 이 상처가 깊어 나을 수 없으니 떠나가요,발라드,2019.01.02,201901
2,벌써 12시,청하,Yeah I like it 네가 말을 놓는 것도 Like it 너의 작은 말투도 나쁘지 않은걸 Boy you know know know know Like the way 말없이 손을 잡고 Like the way 조금은 놀래도 싫지가 않은걸 You know boy boy boy boy 물감처럼 파랗던 하늘은 벌써 까맣고 감정은 더 깊어져 yeah I gotta tell you this 우리 둘만 느껴지는 이상한 느낌 나도 너무 좋아 but it’s too late 아쉬워 벌써 12시 어떡해 벌써 12시네 보내주기 싫은걸 알고 있어 how you feel it 음악에 맞춰 사랑을 속삭이고 싶어 솔직히 우리 둘 맘이 같은 걸 Gotta go gotta go 12시 같은 생각인 걸 알고 있는데 더 이상은 솔직할 수 없는 걸 Gotta go gotta go 12시 어쩜 우린 닮은 것도 많아 취향 취미 먹을 때도 말야 You’re reading my heart 좀 더 일찍 알았다면 어땠을까 생각하게 돼 yeah 별들은 더 빛나고 시간은 점점 지나고 감성은 더 짙어져 yeah I gotta tell you this 너에게만 느껴지는 포근한 느낌 나도 너무 좋아 but it’s too late 아쉬워 벌써 12시 어떡해 벌써 12시네 보내주기 싫은 걸 알고 있어 how you feel it 음악에 맞춰 사랑을 속삭이고 싶어 솔직히 우리 둘 맘이 같은 걸 Gotta go gotta go 12시 같은 생각인 걸 알고 있는데 더 이상은 솔직할 수 없는 걸 Gotta go gotta go 12시 구석에 맘 한구석에 조그만 끈 붙잡고 있는 걸 Baby don’t wanna be alone 늦으면 더 늦어지면 어쩌면 다 놓아버릴지 몰라 I’m really trying to make you see 아쉬워 벌써 12시 어떡해 벌써 12시네 보내주기 싫은걸 알고 있어 how you feel it Gotta go gotta go 12시,댄스,2019.01.02,201901
3,180도,벤,사랑 다 비슷해 그래 다 비슷해 너는 다르길 바랐는데 넌 뭐가 미안해 왜 맨날 미안해 헤어지는 날조차 너는 이유를 몰라 이젠 180도 달라진 너의 표정 그 말투 너무 따뜻했던 눈빛 네 향기까지도 정말 너무나도 달라진 우리 사랑 또 추억 아직 그대로인데 난 이젠 180도 변해버린 지금 너와 나 남자는 다 비슷해 그래 다 비슷해 너는 아니길 바랐는데 말로만 사랑해 거짓말 그만해 헤어지는 날조차 왜 넌 이유를 몰라 이젠 180도 달라진 너의 표정 그 말투 너무 따뜻했던 눈빛 네 향기까지도 정말 너무나도 달라진 우리 사랑 또 추억 아직 그대로인데 난 이젠 180도 변해버린 지금 너와 나 사랑해 말하지 않아도 너의 눈에 쓰여 있었던 그때가 참 그리워 이젠 180도 변해버린 너와 나의 약속 익숙해진 변명 거짓말까지도 모두 진심이라 믿었던 바보 같던 내 사랑 전부 지쳐버렸어 난 이젠 180도 변해버린 지금 너와 나 이젠 너무나도 그리워진 그때 너와 나,발라드,2018.12.07,201901
4,신용재,하은 (포맨),매일 같은 옷을 입는 이유 너와 함께 입던 옷이라서 혹시 어디선가 알아보고 날 찾아줄까 봐 네가 좋아했던 옷을 입고 네가 좋아했던 가수처럼 노래하면 네가 볼 것 같아서 신용재를 따라 하고 따라 해도 안 되는 것처럼 사랑을 따라 하고 흉내 내도 안 되는 것처럼 목이 부서져라 이 노래를 불러도 너는 다시 돌아오질 않잖아 네가 그렇게도 좋아했었던 그 노래처럼 그때 네가 나를 떠난 이후 쉬지 않고 연습하는 이유 혹시 어디선가 들린다면 너 돌아볼까 봐 이제 우리 얘기가 돼버린 네가 좋아했던 노래들을 불러보면 네가 울 것 같아서 신용재를 따라 하고 따라 해도 안 되는 것처럼 사랑을 따라 하고 흉내 내도 안 되는 것처럼 목이 부서져라 이 노래를 불러도 너는 다시 돌아오질 않잖아 그때 그 노래처럼 아직 내가 너를 못 버리는 이유 여태 바보처럼 기다리는 이유 아직 내겐 사랑이라서 아무리 미친 듯이 불러봐도 넌 안 들리나 봐 이별은 연습하고 연습해도 안 되는 건가 봐 목이 부서져라 다시 너를 불러도 너는 내게 돌아오질 않잖아 네가 그렇게도 좋아했었던 그 노래처럼,발라드,2018.11.06,201901
5,SOLO,제니 (JENNIE),천진난만 청순가련 새침한 척 이젠 지쳐 나 귀찮아 매일 뭐 해 어디야 밥은 잘 자 Baby 자기 여보 보고 싶어 다 부질없어 You got me like 이건 아무 감동 없는 Love Story 어떤 설렘도 어떤 의미도 네겐 미안하지만 I’m not sorry 오늘부터 난 난 난 빛이 나는 솔로 빛이 나는 솔로 I’m going solo lo lo lo lo lo I’m going solo lo lo lo lo lo Used to be your girl Now I’m used to being the GOAT You’re sittin’ on your feelings I’m sittin’ on my throne I ain’t got no time for the troubles in your eyes This time I’m only lookin’ at me myself and I I’m goin' solo I’ma do it on my own now Now that you’re alone got you lookin’ for a clone now So low That’s how I’m gettin’ down Destined for this and the crown Sing it loud like 이건 아무 감동 없는 Love Story 어떤 설렘도 어떤 의미도 네겐 미안하지만 I’m not sorry 오늘부터 난 난 난 빛이 나는 솔로 빛이 나는 솔로 I’m going solo lo lo lo lo lo I’m going solo lo lo lo lo lo 만남 설렘 감동 뒤엔 이별 눈물 후회 그리움 홀로인 게 좋아 난 나다워야 하니까 자유로운 바람처럼 구름 위에 별들처럼 멀리 가고 싶어 밝게 빛나고 싶어 빛이 나는 솔로 I’m going solo lo lo lo lo lo I’m going solo lo lo lo lo lo,랩/힙합,2018.11.12,201901
6,아낙네,MINO (송민호),"똑똑 그대 보고 싶소 넘볼 수 없고 가질 수 없어 (So, sad) 뚝뚝 눈물 쏟아내도 그 고운 자태 한 번 비추지 않고 (너무해에) 내게만 까칠한 그녀는 유명한 화이 서울의 별 다 어딨나 Oh, in your eyes 걔와 함께면 넌 디스토피아, 내 발걸음 따라오면 유토피아  Pretty woman 워 워 귀티나네 이리 봐도 저리 봐도 이뻐 이뻐 넌  나의 아낙네 이제 알았네 아낙네 나의 파랑새 (Woo yeah)  꼭꼭 숨어라 나의 님 (나의 님) 머리카락 보일라 어딨니 (Where are you?) 못 찾겠다 꾀꼬리 (꾀꼬리) 그대 있는 곳으로 가리, 나 가리  쉿 아무 말 하지 말고 도망치자 멀리 나만 보고 이제 그만해 제비뽑기 한여름에도 걷고 싶어 너의 그 눈길 우리 둘이 야리꾸리 무리무리 Oh 그리워 너의 몸, 그리고 외로워 여기 밑 빠진 Dog 물 맥여 줘 배배 꼬아 마치 코브라 부끄러워마, Alright?  Pretty woman 워 워 귀티나네 이리 봐도 저리 봐도 이뻐 이뻐 넌  나의 아낙네 이제 알았네 아낙네 나의 파랑새 (Woo yeah)  꼭꼭 숨어라 나의 님 (나의 님) 머리카락 보일라 어딨니 (Where are you?) 못 찾겠다 꾀꼬리 (꾀꼬리) 그대 있는 곳으로 가리, 나 가리  너는 그림 속의 움츠린 떡, Woo 난 침이 꿀꺽 넌 나의 주인공, 난 너의 츄잉껌 Woo, let's boogie on & on  우린 불이 튀어, 이제 숨통이 틔어, 영원히 네게 충성 아름다운 넌 이뻐, 이뻐  랄라라라랄라 랄랄라 랄라라라랄라 랄랄라 랄라라라랄라 랄랄라라 Where ma bishes at 내 아낙네  꾀꼬리 (삐요삐요삐요) 나, 가리 (엥엥엥) 꾀꼬리 (삐요삐요삐요) 그대 있는 곳으로 가리 나가리",랩/힙합,2018.11.26,201901
7,너를 만나,폴킴,너를 만난 그 이후로 사소한 변화들에 행복해져 눈이 부시게 빛 나는 아침 너를 떠올리며 눈 뜨는 하루 식탁 위에 마주 앉아 너의 하루는 어땠는지 묻거나 나의 하루도 썩 괜찮았어 웃으며 대답해 주고 싶어 별것 아닌 일에 맘이 통할 때면 익숙해진 서로가 놀라웠어 널 사랑해 평온한 지금처럼만 영원하고 싶다고 너를 바라보다 생각했어 너를 만나 참 행복했어 나 이토록 사랑할 수 있었던 건 아직 어리고 모자란 내 맘 따뜻한 이해로 다 안아줘서 무심한 말투에 서로 아플 때면 차가워진 사이가 견딜 수 없어 미안해 불안한 지금이라도 영원하고 싶다고 너를 바라보다 생각했어 너를 만나 참 행복했어 나 이토록 사랑할 수 있었던 건 아직 어리고 모자란 내 맘 따뜻한 이해로 다 안아줘서 뜨거웠던 여름 지나 그리워질 빗소리에 하나 둘 수줍어 또 얼굴 붉히면 생각이 많아진 너의 눈에 입 맞출 테니 우리 함께 걸어가기로 해 나를 만나 너도 행복하니 못 해준 게 더 많아서 미안해 이기적이고 불안한 내가 너에게만은 잘하고 싶었어 오랫동안 나 기다려온 완벽한 사랑을 찾은 것 같아 날 잡아줘서 힘이 돼줘서 소중한 배려로 날 안아줘서 너를 만나,발라드,2018.10.29,201901
8,MILLIONS,WINNER,I like you babe 어디가 그렇게 좋으냐고 묻네 Baby wait a sec 손가락 열 개를 다 접어도 이유를 다 세지 못할 만큼 Just like you babe 이걸론 부족해 말해 뭐 해 거 아가씨 넌 조물주의 마스터피스 어제 마젤란이 말하길 너 찾아다닌 거래 지구 한 바퀴 반대로 반대로 넌 내가 왜 좋아 마 뜨면 혼나 야 Milli는 뭔 Milli 넌 Billi um Trillion 말해줘 일일이 어 겉으로만 수백 가지 그 속엔 백만 가지 이유들로 네가 좋아 Baby 해가 두 번 뜰 때까지 옆에 있어 줄래 같이 다 말해주고 싶어 네가 좋은 이유 Got millions millions millions The reason I like you Oh yeah yeah yeah 네가 좋은 이유 Got millions millions millions The reason I like you Oh yeah yeah yeah yeah yeah I like you babe 어디가 그렇게 좋으냐고 묻네 Baby wait a sec 이틀을 쉬지 않고 말해도 끝없이 말할 수 있을 만큼 Just like you babe 이걸론 부족해 네가 얼마큼 좋냐고 이 세상 컬러에 숫자를 매길게 어려운 수학은 몰라도 사랑은 더하고 제곱에 Babe 코끝을 간지럽히는 봄이 찾아온 듯이 꽃 피는 내 맘에 나비가 돼 날아와 날갯짓에 난 또 설레잖아 겉으로만 수백 가지 그 속엔 백만 가지 이유들로 네가 좋아 Baby 해가 두 번 뜰 때까지 옆에 있어 줄래 같이 다 말해주고 싶어 네가 좋은 이유 Got millions millions millions The reason I like you Oh yeah yeah yeah 네가 좋은 이유 Got millions millions millions The reason I like you Oh yeah yeah yeah yeah yeah One 원해 내 마음이 너를 원해 Two 투정 부려도 예쁘네 Three 스릴러 영화는 싫은데 너와 함께면 열 번을 봐도 Ok Four For me 나를 위해주네 Five Five star S라인 몸매 Six Sixth sense 반전 매력에 음 네가 좋은 이유 Got millions millions millions The reason I like you Oh yeah yeah yeah 네가 좋은 이유 Got millions millions millions The reason I like you Oh yeah yeah yeah 네가 좋은 이유 Got millions 듣고 싶을 때 언제든지 말만 해 이 노랠 불러줄게 네가 좋은 이유 Got millions 알고 싶을 때 언제든지 말만 해 내가 다 말해줄게 네가 좋은 이유 Got millions 펼치기,댄스,2018.12.19,201901
9,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,네가 없이 웃을 수 있을까 생각만 해도 눈물이나 힘든 시간 날 지켜준 사람 이제는 내가 그댈 지킬 테니 너의 품은 항상 따뜻했어 고단했던 나의 하루에 유일한 휴식처 나는 너 하나로 충분해 긴 말 안 해도 눈빛으로 다 아니깐 한 송이의 꽃이 피고 지는 모든 날 모든 순간 함께해 햇살처럼 빛나고 있었지 나를 보는 네 눈빛은 꿈이라고 해도 좋을 만큼 그 모든 순간은 눈부셨다 불안했던 나의 고된 삶에 한줄기 빛처럼 다가와 날 웃게 해준 너 나는 너 하나로 충분해 긴 말 안 해도 눈빛으로 다 아니깐 한 송이의 꽃이 피고 지는 모든 날 모든 순간 함께해 알 수 없는 미래지만 네 품속에 있는 지금 순간 순간이 영원 했으면 해 갈게 바람이 좋은 날에 햇살 눈부신 어떤 날에 너에게로 처음 내게 왔던 그날처럼 모든 날 모든 순간 함께해,"발라드, 국내드라마",2018.03.20,201901
10,YES or YES,TWICE (트와이스),Hey boy Look I’m gonna make this simple for you you got two choices YES or YES Ah 둘 중에 하나만 골라 YES or YES Ah ah 하나만 선택해 어서 YES or YES 내가 이렇게도 이기적이었던가 뭔가 이렇게 갖고 싶던 적 있었나 다 놀라 내 뻔뻔함에 Come on and tell me yes 생각보다 과감해진 나의 시나리오 이 정도 Plan이면 완벽해 만족해 I don’t care 누가 뭐래도 You better tell me yes 내 맘은 정했어 YES 그럼 이제 네 대답을 들을 차례 힘들면 보기를 줄게 넌 고르기만 해 고민할 필요도 없게 해줄게 뭘 고를지 몰라 준비해봤어 둘 중에 하나만 골라 YES or YES 네 마음을 몰라 준비해봤어 하나만 선택해 어서 YES or YES 싫어는 싫어 나 아니면 우리 선택을 존중해 거절은 거절해 선택지는 하나 자 선택은 네 맘 It’s all up to you 둘 중에 하나만 골라 YES or YES 진심일까 Do not guess 진심이니 Do not ask 애매한 좌우 말고 확실히 위아래로 There’s no letters N & O 지워버릴래 오늘부로 복잡하게 고민할 필요 없어 정답은 YES YES YO 없던 이기심도 자극하는 너의 눈과 널 향한 호기심이 만나서 타올라 타오른다 My heart burn burn burn 조금 쉽게 말하자면 넌 뭘 골라도 날 만나게 될 거야 뭐 좀 황당하긴 해도 억지라고 해도 절대 후회하지 않게 해줄게 뭘 고를지 몰라 준비해봤어 둘 중에 하나만 골라 YES or YES 네 마음을 몰라 준비해봤어 하나만 선택해 어서 YES or YES 싫어는 싫어 나 아니면 우리 선택을 존중해 거절은 거절해 선택지는 하나 자 선택은 네 맘 Now it’s all up to you Maybe not No No Maybe yes No No 좀 더 선명하게 네 맘을 내게 보여봐 귀 기울여봐 무슨 소리가 들리지 않니 It's Simple Y E S Hey 둘 중에 하나만 골라 YES or YES 하나만 선택해 어서 YES or YES 하나 더 보태서 YES or YES or YES 골라봐 자 선택은 네 맘 뭘 고를지 몰라 준비해봤어 둘 중에 하나만 골라 YES or YES 네 마음을 몰라 준비해봤어 하나만 선택해 어서 YES or YES 싫어는 싫어 나 아니면 우리 선택을 존중해 거절은 거절해 선택지는 하나 자 선택은 네 맘 It’s all up to you 하나만 선택해 어서 YES or YES,댄스,2018.11.05,201901
